Date : 2024-05-25 12:24:36
Directory : c:\Serious Project\Programing Studio 1\terrascope-frontend\public
Total : 72 files,  -3422 codes, 0 comments, -178 blanks, all -3600 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| ..\src\pages\shallow-glance                                                                                                                                                  |         13 |       -660 |         -5 |        -45 |       -710 |
| ..\src\pages\shallow-glance\cities-and-states                                                                                                                                |          4 |       -252 |         -4 |        -12 |       -268 |
| ..\src\pages\shallow-glance\countries                                                                                                                                        |          3 |       -160 |          0 |        -12 |       -172 |
| ..\src\pages\shallow-glance\world                                                                                                                                            |          6 |       -248 |         -1 |        -21 |       -270 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                                                     | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Serious Project\Programing Studio 1\terrascope-frontend\public\index.html                                                                                                 | HTML           |         20 |         23 |          1 |         44 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\public\manifest.json                                                                                              | JSON           |         25 |          0 |          1 |         26 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\App.css                                                                                                       | PostCSS        |        -33 |          0 |         -6 |        -39 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\App.js                                                                                                        | JavaScript     |        -34 |          0 |         -3 |        -37 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\App.test.js                                                                                                   | JavaScript     |         -7 |          0 |         -2 |         -9 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\api\api.js                                                                                                    | JavaScript     |        -11 |         -1 |         -2 |        -14 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\arrow-down.svg                                                                                         | XML            |         -1 |          0 |          0 |         -1 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\arrow-up.svg                                                                                           | XML            |         -1 |          0 |          0 |         -1 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\arrow.svg                                                                                              | XML            |         -3 |          0 |         -1 |         -4 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\change-line.svg                                                                                        | XML            |         -3 |          0 |          0 |         -3 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\dots.svg                                                                                               | XML            |       -130 |          0 |         -1 |       -131 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\ellipse.svg                                                                                            | XML            |         -3 |          0 |         -1 |         -4 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\leaf.svg                                                                                               | XML            |         -3 |          0 |         -1 |         -4 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\line.svg                                                                                               | XML            |         -3 |          0 |         -1 |         -4 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\logo.svg                                                                                               | XML            |        -22 |          0 |         -1 |        -23 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\long-change-line.svg                                                                                   | XML            |         -3 |          0 |         -1 |         -4 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\rectangle.svg                                                                                          | XML            |         -3 |          0 |         -1 |         -4 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\world.svg                                                                                              | XML            |     -1,037 |         -1 |         -1 |     -1,039 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\dual-slider-with-inputs\DualSliderWithInputs.jsx                                            | JavaScript JSX |        -77 |          0 |         -1 |        -78 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\dual-slider-with-inputs\InputField.jsx                                                      | JavaScript JSX |        -30 |          0 |         -3 |        -33 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\dual-switch-button\DualSwitchButton.jsx                                                     | JavaScript JSX |        -69 |          0 |         -3 |        -72 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\pagination\ArrowLeftButton.jsx                                                              | JavaScript JSX |        -19 |          0 |         -3 |        -22 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\pagination\ArrowRightButton.jsx                                                             | JavaScript JSX |        -19 |          0 |         -3 |        -22 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\pagination\DoubleArrowLeftButton.jsx                                                        | JavaScript JSX |        -15 |          0 |         -3 |        -18 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\pagination\DoubleArrowRightButton.jsx                                                       | JavaScript JSX |        -14 |          0 |         -3 |        -17 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\pagination\PageInput.jsx                                                                    | JavaScript JSX |        -48 |          0 |         -5 |        -53 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\pagination\PageNumber.jsx                                                                   | JavaScript JSX |        -15 |          0 |         -1 |        -16 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\pagination\Pagination.jsx                                                                   | JavaScript JSX |        -66 |          0 |         -5 |        -71 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\population-change-information\PopulationChangeInformation.jsx                               | JavaScript JSX |        -46 |          0 |         -6 |        -52 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\population-change-information\PopulationInfo.jsx                                            | JavaScript JSX |         -6 |          0 |         -1 |         -7 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\population-change-information\PopulationPercentageChangeInfo.jsx                            | JavaScript JSX |        -23 |          0 |         -1 |        -24 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\population-change-information\PopulationRawChangeInfo.jsx                                   | JavaScript JSX |        -20 |         -1 |         -2 |        -23 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\process-button\ProcessButton.jsx                                                            | JavaScript JSX |        -10 |          0 |         -1 |        -11 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\search-and-chips\Chip.jsx                                                                   | JavaScript JSX |        -27 |          0 |         -2 |        -29 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\search-and-chips\Search.jsx                                                                 | JavaScript JSX |        -85 |          0 |         -3 |        -88 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\search-and-chips\SearchAndChips.jsx                                                         | JavaScript JSX |        -73 |          0 |         -2 |        -75 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\search-and-chips\WarningModal.jsx                                                           | JavaScript JSX |        -55 |          0 |         -1 |        -56 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\select-box\SelectBox.jsx                                                                    | JavaScript JSX |        -22 |          0 |         -3 |        -25 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\select-search-box\SelectSearchBox.jsx                                                       | JavaScript JSX |        -58 |          0 |         -1 |        -59 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\temperature-and-population-change-information\TemperatureAndPopulationChangeInformation.jsx | JavaScript JSX |        -49 |          0 |         -2 |        -51 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\temperature-change-information\ImageWithWarning.jsx                                         | JavaScript JSX |        -27 |          0 |         -4 |        -31 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\temperature-change-information\TemperatureChangeInformation.jsx                             | JavaScript JSX |        -48 |          0 |         -6 |        -54 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\temperature-change-information\TemperatureInfo.jsx                                          | JavaScript JSX |         -8 |          0 |         -2 |        -10 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\temperature-change-information\TemperaturePercentageChangeInfo.jsx                          | JavaScript JSX |        -20 |          0 |         -1 |        -21 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\temperature-change-information\TemperatureRawChangeInfo.jsx                                 | JavaScript JSX |        -17 |          0 |         -3 |        -20 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\settings-side-bar\SettingsSideBar.jsx                                                              | JavaScript JSX |        -35 |          0 |         -2 |        -37 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\index.css                                                                                                     | PostCSS        |         -7 |          0 |         -1 |         -8 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\index.js                                                                                                      | JavaScript     |        -13 |         -3 |         -2 |        -18 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\find-similar-period\cities\SimilarPeriodCities.jsx                                            | JavaScript JSX |       -107 |          0 |         -4 |       -111 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\Home.jsx                                                                                           | JavaScript JSX |        -13 |          0 |         -2 |        -15 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\hero-section\HeroContent.jsx                                                                       | JavaScript JSX |        -32 |          0 |         -4 |        -36 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\hero-section\HeroSection.jsx                                                                       | JavaScript JSX |        -11 |          0 |         -3 |        -14 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\hero-section\NavigationBar.jsx                                                                     | JavaScript JSX |        -27 |          0 |         -4 |        -31 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\index.jsx                                                                                          | JavaScript JSX |         -4 |          0 |         -1 |         -5 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\map-preview-section\ChoroplethMap.jsx                                                              | JavaScript JSX |       -119 |         -3 |         -5 |       -127 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\map-preview-section\MapPreviewSection.jsx                                                          | JavaScript JSX |       -161 |         -5 |        -10 |       -176 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\map-preview-section\WorldInformation.jsx                                                           | JavaScript JSX |         -2 |          0 |         -1 |         -3 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\cities-and-states\CitiesAndStatesDataDisplay.jsx                                         | JavaScript JSX |        -47 |          0 |         -1 |        -48 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\cities-and-states\CitiesAndStatesDataInformation.jsx                                     | JavaScript JSX |        -45 |          0 |         -1 |        -46 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\cities-and-states\ShallowGlanceCitiesAndStates.jsx                                       | JavaScript JSX |       -126 |         -4 |         -9 |       -139 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\cities-and-states\TableHeader.jsx                                                        | JavaScript JSX |        -34 |          0 |         -1 |        -35 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\countries\CountriesChangeDisplay.jsx                                                     | JavaScript JSX |        -52 |          0 |         -4 |        -56 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\countries\ShallowGlanceCountries.jsx                                                     | JavaScript JSX |        -79 |          0 |         -7 |        -86 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\countries\TableHeader.jsx                                                                | JavaScript JSX |        -29 |          0 |         -1 |        -30 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\world\ShallowGlanceWorld.jsx                                                             | JavaScript JSX |        -94 |         -1 |         -6 |       -101 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\world\SortArrowIcon.jsx                                                                  | JavaScript JSX |        -14 |          0 |         -2 |        -16 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\world\TableHeader.jsx                                                                    | JavaScript JSX |        -40 |          0 |         -3 |        -43 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\world\Title.jsx                                                                          | JavaScript JSX |        -36 |          0 |         -4 |        -40 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\world\WorldDataChangeDisplay.jsx                                                         | JavaScript JSX |        -60 |          0 |         -4 |        -64 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\world\index.jsx                                                                          | JavaScript JSX |         -4 |          0 |         -2 |         -6 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\reportWebVitals.js                                                                                            | JavaScript     |        -12 |          0 |         -2 |        -14 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\setupTests.js                                                                                                 | JavaScript     |         -1 |         -4 |         -1 |         -6 |
| Total                                                                                                                                                                        |                |     -3,422 |          0 |       -178 |     -3,600 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
